Date,Open,High,Low,Close,Volume,Market Cap
"Dec 07, 2018",4.92,4.96,4.19,4.53,24895395,592344303
"Dec 14, 2018",4.65,4.75,4.46,4.53,13544913,592960009
"Dec 15, 2018",4.53,4.64,4.48,4.56,12572161,596838783
"Dec 16, 2018",4.57,4.73,4.54,4.65,14565932,607596554
"Dec 13, 2018",5.03,5.03,4.59,4.65,14503435,608308845
"Dec 08, 2018",4.53,4.81,4.38,4.7,16534323,614811505
"Dec 10, 2018",4.85,5,4.59,4.71,13851408,616360814
"Dec 09, 2018",4.71,5.05,4.62,4.86,17862646,635567539
"Nov 27, 2018",4.91,4.95,4.68,4.91,9050190,642623575
"Nov 26, 2018",5.18,5.26,4.67,4.93,10132300,644376285
"Dec 11, 2018",4.71,4.97,4.59,4.94,19625570,646239850
"Dec 06, 2018",6.01,6.06,4.95,4.95,38404207,647677223
"Dec 12, 2018",4.94,5.18,4.83,5.02,17783397,657022817
"Feb 05, 2018",8.43,8.55,6.13,6.71,55276900,663891840
"Nov 30, 2018",5.37,5.43,4.95,5.08,10699024,664273799
"Dec 03, 2018",5.25,5.28,5,5.11,12193045,668286590
"Dec 17, 2018",4.65,5.16,4.64,5.11,17799305,668386725
"Nov 24, 2018",5.56,5.67,4.72,5.12,11938900,669075120
"Nov 25, 2018",5.09,5.28,4.44,5.18,12236300,677616315
"Dec 02, 2018",5.27,5.43,5.2,5.25,11848313,686750930
"Dec 27, 2018",5.72,5.75,5.25,5.28,16073455,690025211
"Dec 01, 2018",5.09,5.42,5.01,5.29,12291155,691761389
"Nov 28, 2018",4.9,5.47,4.9,5.34,15392800,698070712
"Nov 29, 2018",5.35,5.6,5.15,5.35,13027940,699335928
"Dec 19, 2018",5.61,5.89,5.4,5.49,25173916,718336896
"Dec 25, 2018",6.19,6.19,5.46,5.55,19913983,725618989
"Nov 23, 2018",5.74,5.77,5.42,5.56,9943370,726908037
"Dec 21, 2018",5.79,5.87,5.45,5.57,24440098,728178645
"Jan 13, 2019",5.97,6,5.49,5.57,26590183,728389539
"Dec 18, 2018",5.11,5.6,4.98,5.6,26195539,732511504
"Dec 26, 2018",5.55,5.77,5.53,5.71,19526927,747270233
"Nov 22, 2018",6.21,6.23,5.76,5.76,9885300,752821997
"Nov 20, 2018",6.61,6.76,5.55,5.76,25989200,753431522
"Dec 20, 2018",5.47,5.92,5.37,5.79,27976597,757623268
"Mar 10, 2018",8.27,8.35,7.63,7.67,41645000,759601743
"Dec 29, 2018",6.03,6.1,5.83,5.83,20325768,762866028
"Dec 04, 2018",5.11,6.29,5.11,5.88,39059359,769203427
"Jan 03, 2019",6.17,6.18,5.9,5.9,22821639,772178241
"Jan 10, 2019",6.61,6.68,5.8,5.92,75844882,773798122
"Jan 15, 2019",6.16,6.16,5.82,5.92,25427436,774207426
"Dec 22, 2018",5.56,5.95,5.5,5.93,28188479,775715534
"Jan 12, 2019",6.09,6.09,5.93,5.98,32654874,781782829
"Dec 05, 2018",5.92,6.59,5.78,5.98,61589926,782739422
"Dec 30, 2018",5.84,6.01,5.77,6,21109984,784234812
"Dec 28, 2018",5.29,6.02,5.25,6.01,23929897,786342938
"Dec 23, 2018",5.93,6.21,5.9,6.06,29722800,792514008
"Jan 04, 2019",5.9,6.07,5.86,6.07,29311136,793315820
"Jan 05, 2019",6.06,6.2,6.03,6.07,30340637,793368779
"Jan 01, 2019",6.19,6.19,5.89,6.08,23891162,794641454
"Jan 11, 2019",5.97,6.24,5.84,6.08,50239804,794650511
"Mar 12, 2018",8.3,8.55,7.74,8.04,51188100,796000280
"Jan 30, 2019",6.17,6.22,6.06,6.17,41310644,797597771
"Jan 29, 2019",6.22,6.31,6.06,6.18,49291811,798520266
"Jan 16, 2019",5.92,6.25,5.9,6.19,35059223,799081409
"Feb 07, 2018",8.32,9.22,7.35,8.1,77970304,801519320
"Jan 28, 2019",7.09,7.19,6.11,6.21,82427200,801686639
"Dec 24, 2018",6.06,6.58,6.06,6.14,30471526,803751864
"Jan 14, 2019",5.58,6.16,5.57,6.16,43109288,805629865
"Dec 31, 2018",6,6.33,5.97,6.16,38216014,806342664
"Jan 02, 2019",6.09,6.21,5.95,6.19,30308610,809466354
"Jan 31, 2019",6.17,6.33,6.03,6.27,52240451,809728264
"Nov 21, 2018",5.8,6.2,5.57,6.2,14208800,810831494
"Mar 11, 2018",7.65,8.42,7.38,8.27,45451700,819081433
"Feb 06, 2018",6.81,8.56,5.59,8.29,97189904,820712194
"Mar 08, 2018",9.04,9.14,8.12,8.31,48535100,822849906
"Jan 07, 2019",6.43,6.43,6.23,6.29,37914513,822912212
"Mar 09, 2018",8.26,8.33,7.17,8.31,46893300,823110313
"Jan 17, 2019",6.17,6.42,6.08,6.42,36306127,829026635
"Jan 06, 2019",6.07,6.5,6.03,6.4,41574183,836589632
"Feb 04, 2018",9.75,9.75,8.1,8.46,49990000,837523781
