Date,Open,High,Low,Close,Volume,Market Cap
"Dec 14, 2018",86.63,87.14,83.23,84.31,1651491877,8751209554
"Dec 15, 2018",84.28,85.34,82.83,84.44,1496176898,8766638124
"Dec 16, 2018",84.47,87.57,84.47,85.26,1565817037,8853567311
"Dec 13, 2018",90.66,91.11,85.52,86.54,1754475622,8981108543
"Dec 11, 2018",91.58,92.78,87.69,88.95,1707497898,9227301064
"Dec 12, 2018",88.61,92.24,88.26,90.59,1533050103,9400044026
"Dec 10, 2018",94.99,96.26,90.65,91.69,1756437577,9509816315
"Dec 06, 2018",102.45,104.1,91.76,91.76,2310716932,9510417097
"Dec 08, 2018",93.41,97.06,86.83,92.16,1855759401,9555327946
"Dec 07, 2018",91.65,96.09,83.47,93.29,2554304530,9671177427
"Dec 09, 2018",92.04,98.9,91.03,95.14,1875567180,9866414732
"Dec 17, 2018",85.38,96.81,85.38,95.13,2101453024,9880456239
"Dec 18, 2018",95.11,101.32,92.97,101.11,2277514076,10503295749
"Dec 19, 2018",101.68,108.55,100.69,101.27,2456482115,10521416481
"Dec 05, 2018",110.34,110.6,102.48,102.48,1990157607,10618884099
"Feb 07, 2019",104.84,106.06,104.41,104.54,2326764622,10951652648
"Feb 06, 2019",107.57,107.57,102.93,104.92,2593048199,10990266833
"Jan 29, 2019",106.72,107.17,104,105.6,2900418606,11048347342
"Jan 28, 2019",113.29,113.69,103.34,106.59,3366895505,11150461958
"Jan 31, 2019",108.9,110.46,106.53,107.06,2828796031,11204735502
"Nov 26, 2018",116.34,118.2,104.89,108.33,2139490000,11206775318
"Feb 05, 2019",107.63,108.13,106.91,107.44,2515863999,11253035388
"Feb 03, 2019",110.49,110.83,106.56,107.49,2519334757,11254870706
"Feb 01, 2019",107.15,108.64,105.05,107.61,2541271519,11263815610
"Dec 03, 2018",116.38,116.62,107.42,108.93,1772756193,11282911404
"Feb 04, 2019",107.63,108.7,107.07,107.82,2491888675,11290969364
"Dec 21, 2018",115.84,119.09,107.58,109.5,2632539990,11380357569
"Nov 27, 2018",107.91,111.84,102.45,110.01,2320010000,11382216773
"Jan 30, 2019",105.41,109.45,104.84,108.91,2874370355,11396282341
"Dec 04, 2018",108.8,113.14,107.4,110.21,1748116495,11418617063
"Feb 02, 2019",107.47,110.65,106.76,110.43,2385157838,11560765573
"Nov 30, 2018",117.73,119.42,111.74,113.17,2020748396,11716096076
"Nov 24, 2018",123.3,126.79,110.83,113.49,1800960000,11735901799
"Jan 27, 2019",116.51,116.69,113.41,113.41,2775888287,11861671822
"Nov 25, 2018",113.13,118.88,101.77,116.45,2466750000,12043900588
"Dec 02, 2018",118.27,120.56,116.09,116.39,1856199149,12053770487
"Dec 20, 2018",101.09,117.17,100.64,116.22,3063842618,12076674310
"Dec 27, 2018",131.92,132.68,115.65,116.58,2612804378,12129493222
"Dec 22, 2018",109.46,116.76,107.5,116.76,2338772939,12137481655
"Nov 29, 2018",122.72,123.23,115.3,117.54,2196099151,12166285642
"Jan 25, 2019",117.59,117.8,115.83,116.38,2606881898,12168932300
"Mar 16, 2020",125,125,105.17,110.61,15984904590,12180483053
"Jan 26, 2019",116.37,118.08,115.98,116.49,2412181169,12182338148
"Jan 13, 2019",125.91,126.27,116.09,116.9,2268263944,12199288487
"Jan 21, 2019",119.64,119.72,116.16,117.16,2421720343,12242940197
"Jan 24, 2019",117.46,118.03,116.01,117.36,2520843420,12269992351
"Jan 23, 2019",118.71,119.42,116.38,117.45,2556952198,12277481872
"Dec 01, 2018",113.4,120.84,111.62,118.64,2131475768,12284117522
"Mar 12, 2020",194.74,195.15,111.21,112.35,22134741655,12366138225
"Jan 22, 2019",117.11,119.66,114.68,118.75,2552507405,12410972241
"Jan 20, 2019",124.63,125.07,118.7,119.47,2964108269,12483136112
"Feb 08, 2019",104.65,119.81,104.19,119.27,3656841347,12496945336
"Feb 09, 2019",119.21,120.69,118,119.43,2884650400,12515870173
"Mar 17, 2020",110.41,118.99,110.41,113.94,12087490572,12549513954
"Jan 18, 2019",123.65,123.84,120.24,121.01,2305389800,12639234713
"Mar 18, 2020",113.86,116.02,111.74,114.84,11617854009,12650160818
"Nov 28, 2018",110.2,126.05,110.2,122.44,2673470000,12670491119
"Feb 11, 2019",124.87,124.87,120.31,121.3,3222473887,12714795026
"Feb 14, 2019",122.42,124.45,121.33,121.39,3331701628,12729213675
"Jan 15, 2019",129.17,130.74,120.31,122.03,2735449164,12739543688
"Nov 23, 2018",126.42,127.03,119.56,123.3,1998010000,12747016419
"Feb 15, 2019",121.45,123.66,121.37,122.1,3021741615,12805280766
"Feb 13, 2019",122.54,125.55,121.61,122.55,3386585799,12849605819
"Feb 12, 2019",121.18,123.47,119.6,122.57,3149576429,12849965121
"Jan 16, 2019",121.81,127.12,121.44,123.55,2746469340,12899812275
"Jan 17, 2019",123.57,124.27,120.82,123.74,2594091285,12922347330
"Feb 16, 2019",122.4,124.13,122.3,123.26,2905833287,12928550184
"Jan 19, 2019",121.61,125.9,121.16,124.52,3048261797,13007954846
"Feb 10, 2019",119.41,124.85,117.11,124.81,3148766590,13080881910
"Nov 22, 2018",136.81,137.74,126.71,126.71,1792150000,13097009562
"Jan 12, 2019",127.53,128.67,125.45,125.97,2212109224,13143426379
"Jan 11, 2019",127.81,130.17,125.24,127.55,2667585234,13306214134
"Dec 17, 2019",133.65,134.01,121.4,122.6,9057166141,13357486656
"Jan 10, 2019",150.84,152.15,126.53,128.63,3397734456,13416263931
"Mar 04, 2019",132.16,132.73,125.4,127.77,4008171341,13432896659
"Nov 20, 2018",148.81,151.25,126.36,130.34,3134410000,13467303239
"Jan 14, 2019",116.98,130.86,116.97,129.07,2798085735,13471754802
"Dec 25, 2018",141,141,125.11,129.84,3298280609,13505089290
"Mar 14, 2020",133.58,134.48,122.41,123.31,12740784545,13575727275
"Mar 22, 2020",132.85,136.15,122.91,123.32,12497707224,13590860527
"Dec 23, 2018",117.27,133.08,117.27,130.77,3579715061,13595887732
"Dec 26, 2018",129.89,136.68,126.29,131.87,2720469126,13717858346
"Dec 26, 2019",126.49,130.9,125.41,126.36,8600871980,13778664460
"Mar 15, 2020",123.25,132.24,121.85,125.21,12719251813,13787534423
"Dec 25, 2019",129.07,129.07,124.89,126.45,8418019054,13787538200
"Mar 29, 2020",131.02,131.17,125.45,125.58,9938133669,13852241607
"Dec 27, 2019",126.37,128.1,124.82,127.21,8299390176,13873046817
"Dec 31, 2018",140.03,140.18,132.52,133.37,2358360234,13886837730
"Mar 03, 2019",134.79,135.85,131.33,132.25,3454374053,13900679027
"Jan 02, 2020",130.82,130.82,126.95,127.41,8032709256,13902505466
"Dec 21, 2019",129.1,129.15,127.61,128.13,7449064703,13964992761
"Dec 28, 2019",127.21,130.26,126.9,128.32,8069298610,13995233088
"Feb 17, 2019",123.18,134.46,123.09,133.6,4236081130,14014695490
"Dec 23, 2019",132.31,134.73,127.42,128.61,9622497693,14020312860
"Mar 13, 2019",134.61,134.61,132.72,133.26,4265162099,14022610219
"Dec 20, 2019",129.38,129.76,126.99,129.07,8173594150,14065549620
"Dec 24, 2019",128.63,131.67,127.31,129.06,7961819689,14070696528
"Mar 14, 2019",133.2,135.18,132.75,133.71,4476532147,14071628064
"Mar 11, 2019",136.85,137.35,133.1,133.83,4689807419,14079044648
"Dec 19, 2019",133.05,134.19,125.97,129.32,9564699140,14092012421
"Mar 02, 2019",136.35,137.18,132.44,134.21,3747176425,14103698392
"Nov 21, 2018",131.14,138.89,125.76,136.7,2685930000,14127420909
"Dec 31, 2019",132.61,133.73,128.8,129.61,8936866397,14139765786
"Mar 12, 2019",134.01,135.27,130.94,134.44,4709988000,14144929392
"Mar 08, 2019",138.31,139.5,133.56,135.13,4678816794,14209542041
"Mar 25, 2019",137.08,137.7,133.49,135.03,4480516753,14230733149
"Feb 24, 2019",158.9,165.55,135.85,135.85,5957715043,14263873721
"Jan 01, 2020",129.63,132.84,129.2,130.8,7935230330,14271059633
"Mar 26, 2019",135.05,135.46,133.76,135.46,4499271679,14277816266
"Feb 27, 2019",138.03,141.34,131.6,136.13,4469776860,14298070644
"Dec 28, 2018",116.9,137.65,115.69,137.65,3130201009,14324511544
"Mar 01, 2019",136.84,139,136.43,136.44,3756124824,14335957425
"Feb 28, 2019",136.28,138.85,135.66,136.75,4535438953,14365118213
"Dec 29, 2018",138.47,147.03,134.57,138.02,3169029972,14365797196
"Mar 10, 2019",138.18,138.27,135.69,136.76,4578438499,14384860876
"Mar 21, 2019",140.48,141,135.86,136.64,5087247796,14392427839
"Dec 22, 2019",128.1,133.16,127.93,132.37,9121058481,14428651183
"Mar 24, 2019",138.32,138.38,136.31,136.99,4266845458,14434995337
