Date,Open,High,Low,Close,Volume,Market Cap
"Aug 20, 2020",2.79,3.08,2.69,2.9,48819867,0
"Aug 21, 2020",2.9,3.09,2.73,2.88,49313137,0
"Aug 22, 2020",2.88,4.51,2.82,4.48,485801096,0
"Aug 23, 2020",4.49,4.49,3.72,3.97,320749483,0
"Aug 24, 2020",3.99,4.78,3.81,4.6,407690171,0
"Aug 25, 2020",4.58,5.76,4.5,5.52,898847538,0
"Aug 26, 2020",5.54,6.55,5.14,6.08,1054351759,0
"Aug 27, 2020",6.08,6.79,5.31,5.63,1289248953,0
"Aug 28, 2020",5.64,6.33,5.54,6.16,727162235,0
"Aug 29, 2020",6.18,6.56,6.04,6.16,527290028,0
"Aug 30, 2020",6.15,6.22,5.75,5.87,485335136,0
"Aug 31, 2020",5.91,6.46,5.77,6.3,512604781,0
"Sep 01, 2020",6.3,6.84,6.17,6.29,601527409,0
"Sep 02, 2020",6.28,6.43,5.66,6.14,584155028,5234800947
"Sep 03, 2020",6.13,6.32,5.68,5.75,763663457,4900906249
"Sep 04, 2020",5.73,5.98,4.63,5.15,845787793,4387757398
"Sep 05, 2020",5.14,5.31,3.65,4.12,805800385,3514880375
"Sep 06, 2020",4.14,4.9,3.76,4.8,924160482,4092255324
"Sep 07, 2020",4.8,4.82,4.03,4.59,675375183,3917633675
"Sep 08, 2020",4.59,4.62,4.12,4.27,519440288,3644492936
"Sep 09, 2020",4.28,4.8,4.16,4.71,534097094,4015065991
"Sep 10, 2020",4.71,4.87,4.47,4.58,633577674,3906477359
"Sep 11, 2020",4.58,4.75,4.32,4.65,633472140,3961031724
"Sep 12, 2020",4.65,5.28,4.52,5.14,753745737,4380082751
"Sep 13, 2020",5.15,5.48,4.81,5.3,1099475714,4517285669
"Sep 14, 2020",5.3,5.6,5.13,5.35,1008259712,4560564714
"Sep 15, 2020",5.37,5.45,5.1,5.1,897864384,4344841941
"Sep 16, 2020",5.07,5.28,4.99,5.08,792360521,4331724983
"Sep 17, 2020",5.08,5.42,5.06,5.34,776350363,4549984896
"Sep 18, 2020",5.34,5.46,5.11,5.25,683398180,4472788249
"Sep 19, 2020",5.25,5.26,4.82,4.93,605268040,4199640091
"Sep 20, 2020",4.93,4.97,4.42,4.67,798507891,3983952932
"Sep 21, 2020",4.67,4.7,3.95,4.09,1096736657,3491249077
"Sep 22, 2020",4.09,4.21,3.92,4.17,673117344,3559346335
"Sep 23, 2020",4.17,4.32,3.97,4.03,557062766,3437376886
"Sep 24, 2020",4.02,4.4,3.99,4.38,437573446,3736279268
"Sep 25, 2020",4.38,4.53,4.26,4.42,425191119,3769516671
"Sep 26, 2020",4.42,4.46,4.24,4.35,329745176,3707023756
"Sep 27, 2020",4.34,4.36,4.16,4.31,316361927,3675151412
"Sep 28, 2020",4.3,4.58,4.27,4.4,543507456,3749825721
"Sep 29, 2020",4.42,4.6,4.36,4.5,508965929,3837300168
"Sep 30, 2020",4.5,4.5,4.25,4.35,378446620,3708830409
"Oct 01, 2020",4.35,4.58,4.26,4.34,445143708,3703757887
"Oct 02, 2020",4.34,4.36,3.93,4.12,554916297,3515619342
"Oct 03, 2020",4.13,4.13,4.04,4.07,361964763,3470315784
"Oct 04, 2020",4.07,4.2,4.02,4.17,286356969,3558875853
"Oct 05, 2020",4.18,4.23,4.12,4.17,332264664,3557842898
"Oct 06, 2020",4.17,4.18,3.65,3.76,662270711,3202682677
"Oct 07, 2020",3.75,3.88,3.62,3.86,629063456,3290194893
"Oct 08, 2020",3.86,4.16,3.66,4.1,614223111,3498108576
"Oct 09, 2020",4.11,4.35,4.02,4.26,491506582,3634383221
"Oct 10, 2020",4.26,4.48,4.24,4.25,492038159,3626272562
"Oct 11, 2020",4.26,4.33,4.18,4.26,388098955,3634122785
"Oct 12, 2020",4.26,4.44,4.21,4.32,489608532,3683393733
"Oct 13, 2020",4.32,4.34,4.16,4.25,420659947,3623241282
"Oct 14, 2020",4.26,4.36,4.09,4.2,520198619,3580365245
"Oct 15, 2020",4.19,4.19,4.03,4.1,450623089,3493136395
"Oct 16, 2020",4.1,4.16,3.84,3.91,443295515,3333451300
"Oct 17, 2020",3.92,3.98,3.87,3.97,206453738,3382668461
"Oct 18, 2020",3.97,4.12,3.96,4.1,204108300,3499821171
"Oct 19, 2020",4.11,4.11,3.96,3.99,249983725,3402569424
