Date,Open,High,Low,Close,Volume,Market Cap
"Apr 10, 2020",0.832,1.31,0.6942,0.9511,87364276,0
"Apr 11, 2020",0.9511,1.05,0.765,0.7768,43862444,0
"Apr 12, 2020",0.7854,0.9567,0.7624,0.8825,38736897,0
"Apr 13, 2020",0.8908,0.8916,0.774,0.7778,18211285,0
"Apr 14, 2020",0.7778,0.7965,0.6282,0.6619,16747614,0
"Apr 15, 2020",0.6693,0.705,0.6215,0.6467,13075275,0
"Apr 16, 2020",0.6309,0.7742,0.6251,0.6908,21346031,0
"Apr 17, 2020",0.6893,0.7196,0.6607,0.6607,9870810,0
"Apr 18, 2020",0.6607,0.7176,0.6594,0.6811,9782112,0
"Apr 19, 2020",0.6815,0.6846,0.5985,0.607,9289670,0
"Apr 20, 2020",0.6129,0.6393,0.5206,0.5388,8342616,0
"Apr 21, 2020",0.5414,0.6046,0.5085,0.5877,9711507,0
"Apr 22, 2020",0.5812,0.707,0.5696,0.6916,18828400,0
"Apr 23, 2020",0.6853,0.6981,0.6003,0.6275,13485271,0
"Apr 24, 2020",0.624,0.671,0.6139,0.6342,9064190,0
"Apr 25, 2020",0.6305,0.6709,0.6215,0.6433,7311905,0
"Apr 26, 2020",0.6532,0.6915,0.6312,0.6355,8320760,0
"Apr 27, 2020",0.6357,0.6603,0.561,0.5724,7406934,0
"Apr 28, 2020",0.5783,0.6921,0.5685,0.6613,7470201,0
"Apr 29, 2020",0.6623,0.7778,0.6553,0.7458,8801144,0
"Apr 30, 2020",0.7472,0.8008,0.6879,0.691,5016892,0
"May 01, 2020",0.691,0.7371,0.6859,0.7288,4164272,0
"May 02, 2020",0.7273,0.749,0.7079,0.7159,3441356,0
"May 03, 2020",0.7148,0.7298,0.6566,0.6795,3328344,0
"May 04, 2020",0.6796,0.7058,0.6184,0.6675,3443698,0
"May 05, 2020",0.6734,0.6862,0.6265,0.6418,2847469,0
"May 06, 2020",0.6425,0.6739,0.6226,0.6226,2677563,0
"May 07, 2020",0.6226,0.6323,0.5734,0.613,3355830,0
"May 08, 2020",0.613,0.6366,0.5899,0.6049,2488195,0
"May 09, 2020",0.604,0.6254,0.5884,0.6045,2128503,0
"May 10, 2020",0.6045,0.6123,0.5131,0.537,2327581,0
"May 11, 2020",0.5363,0.5719,0.5052,0.5153,2098481,0
"May 12, 2020",0.5134,0.5598,0.5053,0.5386,2198625,0
"May 13, 2020",0.5384,0.5649,0.518,0.5505,2326446,0
"May 14, 2020",0.5505,0.5809,0.5501,0.5691,2047897,0
"May 15, 2020",0.5692,0.5746,0.5471,0.5598,1850070,0
"May 16, 2020",0.559,0.6065,0.5544,0.5991,2300409,0
"May 17, 2020",0.5952,0.6402,0.5892,0.613,2936428,0
"May 18, 2020",0.6127,0.6744,0.6096,0.6527,3314359,0
"May 19, 2020",0.651,0.6545,0.6112,0.6245,2380263,0
"May 20, 2020",0.6225,0.6267,0.5753,0.5792,2302926,0
"May 21, 2020",0.5797,0.6138,0.5433,0.6089,2863017,0
"May 22, 2020",0.6052,0.6764,0.5828,0.6389,3411419,0
"May 23, 2020",0.6374,0.6388,0.5882,0.613,2638524,0
"May 24, 2020",0.6133,0.6133,0.5484,0.5491,2786816,0
"May 25, 2020",0.5486,0.6501,0.5381,0.6009,4509580,0
"May 26, 2020",0.5991,0.6124,0.5665,0.5733,2689697,0
"May 27, 2020",0.5733,0.6111,0.5714,0.591,2536916,0
"May 28, 2020",0.5909,0.5924,0.5669,0.5752,2662788,0
