Date,Open,High,Low,Close,Volume,Market Cap
"Jul 26, 2019",1.7,1.83,1.26,1.33,12088575,0
"Jul 27, 2019",1.33,1.4,1.22,1.31,6033446,0
"Jul 28, 2019",1.31,1.37,1.24,1.27,1643709,0
"Jul 29, 2019",1.26,1.38,1.18,1.29,3966802,0
"Jul 30, 2019",1.29,1.37,1.27,1.29,1820705,0
"Jul 31, 2019",1.29,1.33,1.27,1.3,1155167,0
"Aug 01, 2019",1.3,1.36,1.28,1.28,884021,0
"Aug 02, 2019",1.28,1.35,1.21,1.27,1356086,0
"Aug 03, 2019",1.27,1.28,1.24,1.26,453826,0
"Aug 04, 2019",1.26,1.26,1.19,1.25,459244,0
"Aug 05, 2019",1.25,1.28,1.16,1.19,1349148,0
"Aug 06, 2019",1.19,1.28,1.05,1.15,3368956,0
"Aug 07, 2019",1.15,1.16,1.07,1.11,1486227,0
"Aug 08, 2019",1.11,1.23,1.1,1.2,2315297,0
"Aug 09, 2019",1.2,1.28,1.19,1.22,2464328,0
"Aug 10, 2019",1.22,1.22,1.09,1.14,368141,0
"Aug 11, 2019",1.14,1.29,1.09,1.27,1132766,0
"Aug 12, 2019",1.27,1.39,1.14,1.28,998899,0
"Aug 13, 2019",1.28,1.42,1.12,1.39,1803284,0
"Aug 14, 2019",1.39,1.42,1.25,1.3,1728173,0
"Aug 15, 2019",1.3,1.36,1.24,1.32,1356818,0
"Aug 16, 2019",1.32,1.33,1.2,1.3,591424,0
"Aug 17, 2019",1.3,1.37,1.23,1.32,546837,0
"Aug 18, 2019",1.32,1.33,1.22,1.3,321801,0
"Aug 19, 2019",1.31,1.36,1.21,1.31,2010263,0
"Aug 20, 2019",1.31,2.06,1.22,1.26,1210425,0
"Aug 21, 2019",1.26,1.33,1.22,1.3,3356431,0
"Aug 22, 2019",1.3,1.3,1.17,1.22,2135163,0
"Aug 23, 2019",1.22,1.23,1.15,1.18,1760916,0
"Aug 24, 2019",1.18,1.19,1.12,1.17,1146409,0
"Aug 25, 2019",1.17,1.26,1.12,1.24,1800194,0
"Aug 26, 2019",1.24,1.26,1.16,1.17,1391334,0
"Aug 27, 2019",1.17,1.23,1.13,1.16,2017929,0
"Aug 28, 2019",1.16,1.19,1.11,1.12,2265633,0
"Aug 29, 2019",1.12,1.19,1.1,1.15,1913203,0
"Aug 30, 2019",1.15,1.19,1.14,1.17,2300788,0
"Aug 31, 2019",1.17,1.19,1.14,1.17,3991012,0
"Sep 01, 2019",1.17,1.18,1.15,1.16,6171179,0
"Sep 02, 2019",1.16,1.17,1.14,1.16,6692015,0
"Sep 03, 2019",1.16,1.24,1.11,1.23,16167679,0
"Sep 04, 2019",1.23,1.23,1.13,1.18,1482794,0
"Sep 05, 2019",1.18,1.19,1.15,1.16,1016782,0
"Sep 06, 2019",1.16,1.19,1.13,1.13,2075319,0
"Sep 07, 2019",1.13,1.17,1.06,1.16,1737239,0
