Date,Open,High,Low,Close,Volume,Market Cap
"Jan 03, 2018",1.01,1.02,1,1.01,2471689984,1386476964
"Jan 04, 2018",1.01,1.02,0.9938,1,3200130048,1471804104
"Jan 05, 2018",1,1.01,0.9859,0.9986,3096620032,1466084426
"Jan 06, 2018",1,1.01,0.9968,1.01,2620080128,1481287964
"Jan 07, 2018",1.01,1.02,0.9982,1,2338180096,1470394738
"Jan 08, 2018",1.01,1.04,0.9976,1.01,3815749888,1481772434
"Jan 09, 2018",1.01,1.01,1,1.01,2766180096,1476883695
"Jan 10, 2018",1.01,1.01,0.9964,1,3189860096,1469968992
"Jan 11, 2018",1,1.02,0.9902,1,3841110016,1470600270
"Jan 12, 2018",1.01,1.02,0.9977,1.01,2668219904,1477015823
"Jan 13, 2018",1,1.01,0.9966,1,2759879936,1471055378
"Jan 14, 2018",1,1.04,1,1.02,2960410112,1491755445
"Jan 15, 2018",1.02,1.02,1,1.01,2557179904,1477808591
"Jan 16, 2018",1.01,1.05,0.999,1.03,5552929792,1673348625
"Jan 17, 2018",1.03,1.07,0.9977,1.01,5588839936,1641601683
"Jan 18, 2018",1.02,1.04,1,1.02,4302300160,1655484902
"Jan 19, 2018",1.02,1.04,1,1,2876989952,1625436955
"Jan 20, 2018",1.01,1.01,0.9914,1,2942779904,1619886904
"Jan 21, 2018",1,1.03,0.9971,0.9999,3302010112,1617865908
"Jan 22, 2018",1,1.02,0.9915,1.01,3274899968,1626246001
"Jan 23, 2018",1,1.02,0.9845,1.01,3126830080,1626262182
"Jan 24, 2018",1,1.03,0.9922,0.9975,2620630016,1614019706
"Jan 25, 2018",1.01,1.01,0.9874,0.9996,2571930112,1617435496
"Jan 26, 2018",0.9976,1.02,0.9858,1,2957009920,1624789719
"Jan 27, 2018",1,1.01,0.9922,0.9933,2051980032,1607290067
"Jan 28, 2018",0.9965,1,0.9813,0.9888,2546639872,2252553425
"Jan 29, 2018",0.9884,1,0.9817,0.9953,2031160064,2267427080
"Jan 30, 2018",0.9987,1.01,0.9754,0.9865,3108630016,2216772953
"Jan 31, 2018",0.9925,1,0.9714,0.9903,2663930112,2195576902
"Feb 01, 2018",0.9916,1.01,0.9548,0.9869,3498899968,2188182737
"Feb 02, 2018",0.9863,1.02,0.9251,0.9907,4785869824,2196625610
"Feb 03, 2018",0.9941,1.02,0.9829,1,2488529920,2220045268
"Feb 04, 2018",1,1.01,0.9752,1.01,2504640000,2239600450
"Feb 05, 2018",0.9958,1.02,0.9448,0.9963,4078980096,2208955130
"Feb 06, 2018",0.9785,1.02,0.9583,1.01,6247249920,2239511764
"Feb 07, 2018",1,1.02,0.9846,1,3307539968,2220244811
"Feb 08, 2018",0.995,1.03,0.9875,1.02,2466619904,2259066946
"Feb 09, 2018",1.02,1.05,0.995,1,1631139968,2221818981
"Feb 10, 2018",1,1.01,0.9933,1,2628379904,2225344235
"Feb 11, 2018",1,1.01,0.9927,0.9993,2431739904,2215480175
"Feb 12, 2018",1,1.01,0.9908,1,2457489920,2217340356
"Feb 13, 2018",1,1.01,0.9959,1,2226759936,2219579668
"Feb 14, 2018",0.9977,1.01,0.9933,1,3066190080,2218848012
"Feb 15, 2018",1.01,1.02,0.9972,1.01,3286909952,2229135545
"Feb 16, 2018",1.01,1.01,0.9967,1,2605819904,2221796809
"Feb 17, 2018",1,1.01,0.9969,1,2797600000,2225344235
"Feb 18, 2018",1,1.02,0.9988,1.01,3124179968,2228647774
"Feb 19, 2018",1,1.01,0.994,1,2546439936,2218493269
"Feb 20, 2018",1,1.01,0.9941,1,3126220032,2218493269
"Feb 21, 2018",1.01,1.01,0.9887,1,3459830016,2219291440
"Feb 22, 2018",1,1.01,0.994,1,2904620032,2226208919
"Feb 23, 2018",1.01,1.01,0.9937,1,2815280128,2220621725
"Feb 24, 2018",1,1.01,0.9939,1,2417710080,2223437493
"Feb 25, 2018",1,1.01,0.9962,1,1968850048,2217894641
"Feb 26, 2018",0.9977,1.01,0.9897,0.9996,2362210048,2216167489
"Feb 27, 2018",0.9987,1.01,0.9916,1,2473019904,2218293727
"Feb 28, 2018",1,1.01,0.9928,0.9989,2414230016,2214708610
"Mar 01, 2018",0.9998,1.01,0.9957,1,2285570048,2218072013
"Mar 02, 2018",0.9982,1.01,0.9944,0.9997,2172250112,2216542186
"Mar 03, 2018",0.9952,1.01,0.9935,1,2181489920,2219069726
"Mar 04, 2018",1,1,0.9953,0.9976,2133910016,2211846281
"Mar 05, 2018",0.9975,1,0.995,0.9989,2227680000,2214622142
"Mar 06, 2018",1.01,1.01,0.9963,1,2491849984,2218249384
"Mar 07, 2018",0.9984,1.02,0.9814,1,3037380096,2222639323
