Date,Open,High,Low,Close,Volume,Market Cap
"Oct 08, 2018",1,1.01,1,1,382900,0
"Oct 09, 2018",1,1.01,1,1.01,108803,0
"Oct 10, 2018",1,1.02,1,1.01,711783,0
"Oct 11, 2018",1.01,1.03,1,1.01,4177290,0
"Oct 12, 2018",1.01,1.02,1,1.01,1322240,0
"Oct 13, 2018",1.01,1.02,1,1.01,698507,0
"Oct 14, 2018",1.01,1.02,1,1.02,982750,0
"Oct 15, 2018",1.02,1.11,0.9984,1.03,10660400,0
"Oct 16, 2018",1.03,1.04,1.02,1.02,2124080,24323316
"Oct 17, 2018",1.02,1.03,1.01,1.01,1102740,24107423
"Oct 18, 2018",1.01,1.02,1.01,1.01,1182450,24187789
"Oct 19, 2018",1.01,1.02,1.01,1.01,715078,24002106
"Oct 20, 2018",1.01,1.01,1,1.01,299871,23994903
"Oct 21, 2018",1.01,1.02,1,1.01,509276,24149159
"Oct 22, 2018",1.01,1.02,1,1.01,1211160,33637864
"Oct 23, 2018",1.01,1.02,1.01,1.01,1503840,0
"Oct 24, 2018",1.01,1.01,1,1.01,923940,85597084
"Oct 25, 2018",1.01,1.01,1,1.01,1365520,85423351
"Oct 26, 2018",1.01,1.02,1,1.01,950623,125705149
"Oct 27, 2018",1.01,1.01,1,1.01,712963,125258974
"Oct 28, 2018",1.01,1.01,1,1.01,282707,125585474
"Oct 29, 2018",1.01,1.02,1.01,1.01,1983680,126268125
"Oct 30, 2018",1.01,1.01,1,1,715882,127961109
"Oct 31, 2018",1.01,1.01,0.994,0.9964,1279360,126902715
"Nov 01, 2018",0.9964,1.02,0.9912,0.9925,1800480,126328568
"Nov 02, 2018",0.9929,1.01,0.9882,1,2042390,132263916
"Nov 03, 2018",1,1.01,0.9978,1,1402480,132760170
"Nov 04, 2018",1,1.01,0.9827,0.9977,2144200,131925671
"Nov 05, 2018",0.997,1.01,0.9967,0.9987,1287400,134043873
"Nov 06, 2018",1,1.01,0.9971,1,2241070,134764761
"Nov 07, 2018",1,1.01,0.9972,1,2589880,134846051
"Nov 08, 2018",1,1.01,0.9986,1,3423190,134582387
"Nov 09, 2018",1,1.01,1,1.01,3478250,135152023
"Nov 10, 2018",1.01,1.03,0.9959,1.01,2497760,135543519
"Nov 11, 2018",1.01,1.02,0.9967,1.01,4726130,135307300
"Nov 12, 2018",1.01,1.02,1,1.01,6446540,135869180
"Nov 13, 2018",1.01,1.02,0.9995,1.01,6483310,135535719
"Nov 14, 2018",1.02,1.04,0.9991,1.02,24013300,145938458
"Nov 15, 2018",1.02,1.06,1.01,1.02,18776600,145288638
"Nov 16, 2018",1.02,1.04,1.01,1.03,9247040,147038389
"Nov 17, 2018",1.03,1.04,1.01,1.01,5537380,144078009
"Nov 18, 2018",1.01,1.01,1,1.01,5735460,144472180
"Nov 19, 2018",1.01,1.05,1,1.02,27873100,145433960
"Nov 20, 2018",1.02,1.06,1.01,1.02,43293600,156707498
"Nov 21, 2018",1.02,1.03,1.01,1.01,20164000,165035815
"Nov 22, 2018",1.01,1.02,1.01,1.02,11556600,166175762
"Nov 23, 2018",1.02,1.03,1.01,1.02,17717500,169431172
"Nov 24, 2018",1.02,1.04,1.01,1.02,19409700,169951729
"Nov 25, 2018",1.03,1.04,0.9903,1.03,23476200,170393049
"Nov 26, 2018",1.02,1.06,1.02,1.04,29734800,172044015
"Nov 27, 2018",1.03,1.04,0.9955,1.01,13622700,170711291
"Nov 28, 2018",1.01,1.03,1,1.01,23327400,173690422
"Nov 29, 2018",1.01,1.02,1,1.01,18025473,179215723
"Nov 30, 2018",1.01,1.02,1,1.01,14143221,178350744
"Dec 01, 2018",1.01,1.03,1,1.01,14198649,177962574
"Dec 02, 2018",1.01,1.03,0.9933,1.01,10761895,178770938
"Dec 03, 2018",1.01,1.02,1,1.01,12188098,178146806
"Dec 04, 2018",1.01,1.02,1,1.01,12556999,178853754
"Dec 05, 2018",1.01,1.02,1,1.01,14257800,180498555
"Dec 06, 2018",1.01,1.02,1,1.02,21637768,181375785
"Dec 07, 2018",1.02,1.03,1,1.01,29947363,186984732
"Dec 08, 2018",1.01,1.03,1.01,1.02,17724714,189115397
"Dec 09, 2018",1.02,1.03,1.01,1.02,14831259,188363784
"Dec 10, 2018",1.02,1.03,1.01,1.02,12987868,194659964
"Dec 11, 2018",1.03,1.04,1.02,1.02,12104531,193258122
"Dec 12, 2018",1.02,1.04,0.9898,1.02,10392693,195911389
"Dec 13, 2018",1.04,1.04,0.983,1.02,8569160,195990468
"Dec 14, 2018",1.02,1.03,1.01,1.02,11571584,205058003
"Dec 15, 2018",1.02,1.02,0.9951,0.9979,8595919,201408567
"Dec 16, 2018",1,1.04,0.998,1.01,9383751,204222547
"Dec 17, 2018",1.03,1.03,0.9981,1.01,18392475,214498101
"Dec 18, 2018",1.01,1.02,1,1.01,24572396,216113191
"Dec 19, 2018",1.01,1.02,1,1.02,46352135,227179148
"Dec 20, 2018",1.02,1.02,1.01,1.02,58976758,229602070
"Dec 21, 2018",1.02,1.02,1.01,1.02,46603504,231531679
"Dec 22, 2018",1.01,1.02,0.9971,1.01,26222950,230419100
"Dec 23, 2018",1.01,1.02,1.01,1.01,23629168,230406708
"Dec 24, 2018",1.01,1.02,0.9984,1.01,43621601,230219939
"Dec 25, 2018",1.01,1.03,1.01,1.01,27610569,230303642
"Dec 26, 2018",1.01,1.02,1.01,1.01,19786403,230733088
"Dec 27, 2018",1.02,1.03,1.01,1.02,23019282,241190277
"Dec 28, 2018",1.02,1.02,0.9786,1.01,28974098,244258933
"Dec 29, 2018",1.01,1.04,1,1.02,22783697,251416580
"Dec 30, 2018",1.02,1.03,1.01,1.01,18537225,249383515
"Dec 31, 2018",1.01,1.03,1.01,1.02,20975704,254230218
"Jan 01, 2019",1.02,1.02,1.01,1.01,17007853,261353425
"Jan 02, 2019",1.01,1.02,1.01,1.02,18125812,288816454
"Jan 03, 2019",1.01,1.02,1.01,1.01,15279811,290759445
"Jan 04, 2019",1.02,1.02,1,1.01,17203036,293621600
"Jan 05, 2019",1.01,1.02,1,1.01,15428171,294420174
"Jan 06, 2019",1.01,1.02,0.9892,1.01,18503989,305397453
"Jan 07, 2019",1.01,1.01,1,1.01,18697630,316560983
"Jan 08, 2019",1.01,1.02,1,1.01,23189996,327134638
"Jan 09, 2019",1.01,1.01,1,1,23000567,337931396
"Jan 10, 2019",1,1.03,1,1.01,51534670,346525551
"Jan 11, 2019",1.02,1.02,1.01,1.01,25279715,356762456
"Jan 12, 2019",1.01,1.02,1.01,1.01,12617410,364888858
"Jan 13, 2019",1.01,1.03,1.01,1.01,16808894,372399548
"Jan 14, 2019",1.01,1.02,0.9987,1.01,25825886,365745274
