Date,Open,High,Low,Close,Volume,Market Cap
"Jan 02, 2018",2.37,2.49,2.25,2.48,3171010048,96107944451
"Jan 03, 2018",2.46,3.28,2.44,3.11,6635879936,120299378234
"Jan 04, 2018",3.12,3.84,3.12,3.2,8103660032,123834712592
"Jan 05, 2018",3.3,3.56,2.83,3.05,6288500224,118104418286
"Jan 06, 2018",3.02,3.24,2.99,3.09,2777560064,119857751982
"Jan 07, 2018",3.09,3.49,3.08,3.38,2395150080,130853470856
"Jan 08, 2018",3.36,3.36,2.07,2.46,3315259904,95151474965
"Jan 09, 2018",2.44,2.53,1.98,2.1,3694700032,81421159857
"Jan 10, 2018",2.13,2.16,1.7,1.97,4833639936,76506707920
"Jan 11, 2018",1.98,2.25,1.62,1.95,6296119808,75572319796
"Jan 12, 2018",1.94,2.16,1.87,2.04,3330810112,79152978766
"Jan 13, 2018",2.05,2.12,1.98,2.02,2130169984,78305366321
"Jan 14, 2018",2.02,2.02,1.81,1.86,1978200064,72100905208
"Jan 15, 2018",1.86,1.9,1.67,1.68,1838460032,64955082926
"Jan 16, 2018",1.68,1.7,0.9093,1.18,5687960064,45682746768
"Jan 17, 2018",1.18,1.38,0.8978,1.31,7251210240,50606491820
"Jan 18, 2018",1.31,1.73,1.26,1.6,9110439936,61850140629
"Jan 19, 2018",1.58,1.7,1.5,1.55,3697430016,60125086600
"Jan 20, 2018",1.56,1.63,1.5,1.58,2346449920,61154385624
"Jan 21, 2018",1.58,1.58,1.34,1.38,2840750080,53461566645
"Jan 22, 2018",1.39,1.43,1.16,1.36,2642510080,52582575495
"Jan 23, 2018",1.35,1.43,1.2,1.34,2977080064,51796945678
"Jan 24, 2018",1.35,1.42,1.31,1.36,1853440000,52574827666
"Jan 25, 2018",1.36,1.38,1.29,1.31,986067968,50834665371
"Jan 26, 2018",1.31,1.33,1.13,1.22,2037570048,47155996370
"Jan 27, 2018",1.22,1.24,1.19,1.22,689100992,47227276392
"Jan 28, 2018",1.22,1.44,1.22,1.4,1327360000,54219304278
"Jan 29, 2018",1.4,1.41,1.3,1.32,1073680000,51289462908
"Jan 30, 2018",1.33,1.33,1.13,1.14,1134640000,44106838439
"Jan 31, 2018",1.13,1.19,1.04,1.16,1264029952,45029992212
"Feb 01, 2018",1.16,1.16,0.9304,0.9625,1410419968,37547540521
"Feb 02, 2018",0.9606,0.9606,0.6352,0.8848,3529760000,34514730026
"Feb 03, 2018",0.892,0.9748,0.7616,0.924,1988960000,36046192831
"Feb 04, 2018",0.9134,0.9529,0.7968,0.8157,1190960000,31819934387
"Feb 05, 2018",0.8259,0.8339,0.6758,0.6918,1286179968,26986536508
"Feb 06, 2018",0.7051,0.786,0.5884,0.7764,2361139968,30286482112
"Feb 07, 2018",0.7746,0.8055,0.707,0.7239,1133369984,28238576299
"Feb 08, 2018",0.7293,0.807,0.7226,0.8053,947315008,31412678173
"Feb 09, 2018",0.7971,0.9544,0.7715,0.9544,1690339968,37231487854
"Feb 10, 2018",0.9473,1.3,0.9473,1.07,4682010112,41768727766
"Feb 11, 2018",1.07,1.08,0.9298,1,2555310080,39171494176
"Feb 12, 2018",1.01,1.11,1.01,1.08,1756290048,42169352413
"Feb 13, 2018",1.08,1.08,1.01,1.03,921100032,40078458444
"Feb 14, 2018",1.03,1.17,1.02,1.14,1457600000,44533700985
"Feb 15, 2018",1.14,1.16,1.11,1.15,1188530048,44738109276
"Feb 16, 2018",1.14,1.15,1.11,1.14,568339008,44393657900
"Feb 17, 2018",1.14,1.22,1.13,1.2,1186729984,47005324901
"Feb 18, 2018",1.2,1.21,1.09,1.12,1113650048,43708265978
"Feb 19, 2018",1.12,1.17,1.12,1.14,556304000,44642926789
"Feb 20, 2018",1.14,1.17,1.08,1.09,806673024,42498980287
"Feb 21, 2018",1.08,1.1,0.9989,1.02,871526016,39609567670
"Feb 22, 2018",1.01,1.05,0.9225,0.9418,889707008,36738411366
"Feb 23, 2018",0.9342,1.03,0.8983,0.9989,896403968,39050038644
"Feb 24, 2018",0.9977,1.01,0.9295,0.9544,489920000,37312157402
"Feb 25, 2018",0.952,0.9676,0.9153,0.9435,360271008,36885437636
"Feb 26, 2018",0.9437,0.9709,0.9134,0.9569,458612992,37408213331
"Feb 27, 2018",0.9593,0.9726,0.945,0.9473,312712992,37034701591
"Feb 28, 2018",0.9447,0.9556,0.9038,0.9046,329529984,35364493451
"Mar 01, 2018",0.9041,0.9538,0.8906,0.9283,475256992,36293542331
"Mar 02, 2018",0.9266,0.9339,0.9023,0.9101,271036000,35579309844
"Mar 03, 2018",0.9088,0.9265,0.9036,0.9078,280852992,35487834666
"Mar 04, 2018",0.906,1.03,0.8956,1.01,797225984,39308526146
"Mar 05, 2018",1.01,1.08,0.9561,0.9594,1706819968,37503572321
"Mar 06, 2018",0.9544,0.9913,0.9169,0.9229,875180032,36077458649
"Mar 07, 2018",0.9244,0.9307,0.8249,0.8712,809598016,34057303602
"Mar 08, 2018",0.8725,0.8886,0.8254,0.8259,499496000,32284366089
"Mar 09, 2018",0.8261,0.8562,0.7515,0.8498,989203008,33218820222
"Mar 10, 2018",0.8549,0.8604,0.7937,0.7966,402670016,31141708195
"Mar 11, 2018",0.7958,0.8404,0.7757,0.8311,472972000,32490185241
"Mar 12, 2018",0.8321,0.8383,0.7879,0.801,355031008,31314533735
"Mar 13, 2018",0.7985,0.8057,0.7785,0.7897,279679008,30871158542
"Mar 14, 2018",0.7896,0.7991,0.676,0.7019,479148992,27438554006
"Mar 15, 2018",0.7029,0.7307,0.6438,0.6973,888345024,27257442083
"Mar 16, 2018",0.6991,0.7118,0.6745,0.6893,502740000,26944356526
"Mar 17, 2018",0.6877,0.6894,0.6267,0.6379,319824000,24934885930
"Mar 18, 2018",0.6345,0.6776,0.5488,0.6588,923606016,25752723731
"Mar 19, 2018",0.6721,0.7491,0.64,0.7491,1096930048,29284604563
"Mar 20, 2018",0.7368,0.7368,0.6734,0.7098,814275968,27749301270
"Mar 21, 2018",0.7131,0.7206,0.6792,0.6937,527324000,27118166203
"Mar 22, 2018",0.6931,0.7014,0.6367,0.6627,449041984,25909425483
"Mar 23, 2018",0.6631,0.6631,0.6253,0.6432,387164000,25144390549
"Mar 24, 2018",0.6462,0.6796,0.6405,0.6413,390740000,25069759669
"Mar 25, 2018",0.6386,0.6572,0.6319,0.6419,229352000,25093607148
"Mar 26, 2018",0.6427,0.6441,0.5859,0.5995,384504992,23435542779
"Mar 27, 2018",0.599,0.6043,0.5651,0.5779,351380992,22593218558
"Mar 28, 2018",0.5775,0.594,0.5728,0.578,258298000,22596541567
"Mar 29, 2018",0.5778,0.5786,0.5115,0.5115,420550016,19997127300
"Mar 30, 2018",0.5133,0.5313,0.4844,0.5096,518219008,19921199401
"Mar 31, 2018",0.5106,0.5294,0.5052,0.5124,293208000,20030194925
"Apr 01, 2018",0.5139,0.5154,0.4662,0.4851,297868992,18964009158
"Apr 02, 2018",0.4861,0.5104,0.4786,0.5007,262342000,19574157342
"Apr 03, 2018",0.5015,0.5627,0.4997,0.558,578238976,21816462667
"Apr 04, 2018",0.5546,0.5631,0.4985,0.5016,415257984,19611023475
"Apr 05, 2018",0.502,0.5059,0.4845,0.4958,358755008,19383102419
"Apr 06, 2018",0.4948,0.4981,0.4656,0.4764,218156000,18625841555
"Apr 07, 2018",0.4769,0.4957,0.4746,0.4879,209076000,19072926493
"Apr 08, 2018",0.4882,0.5014,0.4876,0.5004,137548000,19562819931
"Apr 09, 2018",0.5012,0.5121,0.4826,0.4919,271775008,19228835441
"Apr 10, 2018",0.4921,0.4936,0.4828,0.4919,154495008,19231806625
"Apr 11, 2018",0.4926,0.5485,0.489,0.5395,341707008,21091728443
"Apr 12, 2018",0.5387,0.6445,0.5065,0.6287,1346739968,24597948740
"Apr 13, 2018",0.6301,0.6931,0.6058,0.6381,1245170048,24963746873
"Apr 14, 2018",0.6374,0.6615,0.6163,0.6322,626268032,24732805014
"Apr 15, 2018",0.6349,0.6825,0.6341,0.6825,609636992,26702637741
"Apr 16, 2018",0.6823,0.6872,0.6386,0.6633,531996000,25950032534
"Apr 17, 2018",0.6649,0.6774,0.6543,0.6569,442352992,25701055067
"Apr 18, 2018",0.6571,0.7214,0.6571,0.7089,624049024,27735401282
"Apr 19, 2018",0.7121,0.792,0.7068,0.792,878328000,30984314668
"Apr 20, 2018",0.7912,0.9384,0.7912,0.9245,2344069888,36167654650
"Apr 21, 2018",0.925,0.925,0.8211,0.8731,1563970048,34158229655
"Apr 22, 2018",0.8668,0.9119,0.8481,0.87,946398976,34036636008
"Apr 23, 2018",0.8666,0.8863,0.8633,0.8767,674545024,34317793232
"Apr 24, 2018",0.876,0.9656,0.8736,0.9348,1572930048,36593127159
"Apr 25, 2018",0.9328,0.9328,0.7792,0.8006,1614050048,31340724464
"Apr 26, 2018",0.8018,0.8524,0.7718,0.8524,1028590016,33368771823
"Apr 27, 2018",0.8511,0.8596,0.8139,0.8139,673793024,31860507753
"Apr 28, 2018",0.8121,0.8876,0.8121,0.8638,788718976,33814647080
"Apr 29, 2018",0.8644,0.9049,0.8345,0.8728,896313984,34165945109
"Apr 30, 2018",0.8714,0.8768,0.8312,0.8379,575363968,32802091383
"May 01, 2018",0.8384,0.8421,0.7978,0.8414,630809024,32944324345
"May 02, 2018",0.8394,0.8643,0.8317,0.8591,544425984,33636838508
"May 03, 2018",0.859,0.8929,0.8473,0.8845,725228992,34651838439
"May 04, 2018",0.8815,0.9277,0.8669,0.8954,1007609984,35081859015
"May 05, 2018",0.8956,0.9224,0.8956,0.9051,668800000,35460360179
"May 06, 2018",0.9042,0.9187,0.856,0.8714,640057024,34140875579
"May 07, 2018",0.8712,0.8712,0.8129,0.8326,602534976,32621425142
